task_id	name	status	exit	realtime	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar
2413	PULL_IPD_KIR (382)	CACHED	0	1.7s	31.5%	0.4%	15.5 MB	467.7 MB	15.5 MB	467.7 MB	6.6 MB	17.3 KB
2416	PULL_IPD_MHC (375)	CACHED	0	1.9s	29.9%	0.5%	20.7 MB	472.5 MB	20.7 MB	472.6 MB	6.6 MB	11.5 KB
2423	PULL_MHC_PROTEINS (355)	CACHED	0	1.9s	30.1%	1.2%	45.2 MB	498.7 MB	45.2 MB	498.7 MB	6.2 MB	5.5 KB
2420	PULL_IPD_KIR (383)	CACHED	0	1.8s	30.9%	1.2%	46.5 MB	499.9 MB	46.5 MB	499.9 MB	6.6 MB	17.3 KB
2424	PULL_IPD_MHC (376)	CACHED	0	2s	29.7%	1.2%	46.7 MB	499.8 MB	46.7 MB	499.8 MB	6.6 MB	8.5 KB
2235	PULL_IPD_KIR (348)	CACHED	0	2.2s	30.3%	1.2%	45 MB	498.8 MB	45 MB	498.8 MB	6.6 MB	17.7 KB
2206	PULL_MHC_PROTEINS (330)	CACHED	0	1.9s	29.8%	1.2%	45.1 MB	498.7 MB	45.1 MB	498.7 MB	6.2 MB	6 KB
2427	PULL_MHC_PROTEINS (356)	CACHED	0	1.8s	37.0%	1.2%	45.7 MB	498.7 MB	45.7 MB	498.7 MB	6.2 MB	5.5 KB
2435	PULL_IPD_KIR (385)	CACHED	0	1.6s	31.9%	1.2%	46.2 MB	499.9 MB	46.2 MB	499.9 MB	6.6 MB	17.4 KB
2441	PULL_MHC_PROTEINS (357)	CACHED	0	1.9s	31.6%	1.2%	45.5 MB	498.7 MB	45.5 MB	498.7 MB	6.2 MB	5.5 KB
2444	PULL_MHC_PROTEINS (358)	CACHED	0	2s	31.9%	1.2%	45 MB	498.7 MB	45 MB	498.7 MB	6.2 MB	5.5 KB
2438	PULL_IPD_KIR (386)	CACHED	0	2s	31.3%	1.2%	46.2 MB	499.9 MB	46.2 MB	499.9 MB	6.6 MB	17.4 KB
2455	PULL_IPD_KIR (388)	CACHED	0	1.9s	31.5%	1.2%	46.7 MB	499.9 MB	46.7 MB	499.9 MB	6.6 MB	17.4 KB
2264	PULL_IPD_KIR (357)	CACHED	0	2.1s	35.2%	1.2%	44.8 MB	498.8 MB	44.8 MB	498.8 MB	6.6 MB	17.7 KB
2292	PULL_IPD_KIR (365)	CACHED	0	2.4s	26.6%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	17.4 KB
1967	PULL_IPD_MHC (307)	CACHED	0	1.9s	29.3%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	15.9 KB
2430	PULL_IPD_KIR (384)	CACHED	0	1.7s	34.2%	1.2%	45 MB	498.6 MB	46.2 MB	499.9 MB	6.6 MB	17.3 KB
2491	PULL_IPD_KIR (392)	CACHED	0	1.9s	31.8%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	17.3 KB
2499	PULL_IPD_MHC (384)	CACHED	0	2.4s	27.3%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	14 KB
2508	PULL_IPD_KIR (394)	CACHED	0	2.4s	24.7%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	17.3 KB
2507	PULL_IPD_KIR (393)	CACHED	0	2.1s	31.6%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	17.3 KB
2506	PULL_IPD_MHC (385)	CACHED	0	1.8s	35.2%	1.2%	46.6 MB	499.8 MB	46.6 MB	499.8 MB	6.6 MB	14.1 KB
2509	PULL_IPD_KIR (395)	CACHED	0	1.8s	33.5%	1.2%	45 MB	498.8 MB	45 MB	498.8 MB	6.6 MB	17.3 KB
2449	PULL_IPD_KIR (387)	CACHED	0	1.8s	29.1%	1.2%	46.4 MB	499.9 MB	46.4 MB	499.9 MB	6.6 MB	17.4 KB
2518	PULL_IPD_KIR (397)	CACHED	0	2.1s	32.2%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	17.4 KB
2452	PULL_MHC_PROTEINS (360)	CACHED	0	2.2s	34.6%	1.2%	45.1 MB	498.7 MB	45.1 MB	498.7 MB	6.2 MB	5.5 KB
2457	PULL_MHC_PROTEINS (361)	CACHED	0	2s	35.2%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	6 KB
2432	PULL_IPD_MHC (377)	CACHED	0	1.9s	37.9%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	11.5 KB
2464	PULL_IPD_MHC (378)	CACHED	0	2.2s	32.4%	1.2%	46.3 MB	499.8 MB	46.3 MB	499.8 MB	6.6 MB	16.4 KB
2460	PULL_IPD_KIR (389)	CACHED	0	1.9s	32.1%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	17.3 KB
2463	PULL_MHC_PROTEINS (362)	CACHED	0	2s	38.1%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	6 KB
2480	PULL_MHC_PROTEINS (363)	CACHED	0	1.9s	37.3%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	6 KB
2484	PULL_MHC_PROTEINS (364)	CACHED	0	2s	32.1%	0.6%	21.1 MB	472.5 MB	21.1 MB	472.5 MB	6.2 MB	6 KB
2477	PULL_IPD_MHC (380)	CACHED	0	2s	28.8%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	15.5 KB
2487	PULL_IPD_MHC (381)	CACHED	0	2s	28.1%	1.2%	45.4 MB	498.8 MB	45.4 MB	498.8 MB	6.6 MB	14 KB
2466	PULL_IPD_MHC (379)	CACHED	0	1.9s	32.9%	1.2%	46.1 MB	498.8 MB	46.1 MB	498.8 MB	6.6 MB	15.7 KB
2489	PULL_IPD_MHC (382)	CACHED	0	2.5s	26.0%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	14 KB
2486	PULL_MHC_PROTEINS (365)	CACHED	0	2.1s	30.7%	1.2%	45.4 MB	498.7 MB	45.4 MB	498.7 MB	6.2 MB	6 KB
2498	PULL_MHC_PROTEINS (366)	CACHED	0	1.8s	33.3%	1.2%	45.8 MB	498.7 MB	45.8 MB	498.7 MB	6.2 MB	5.7 KB
2493	PULL_IPD_MHC (383)	CACHED	0	1.9s	28.9%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	14 KB
2474	PULL_IPD_KIR (391)	CACHED	0	2s	30.9%	1.2%	45.2 MB	498.8 MB	45.2 MB	498.8 MB	6.6 MB	17.3 KB
2473	PULL_IPD_KIR (390)	CACHED	0	2.2s	25.6%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	17.3 KB
2525	PULL_IPD_KIR (399)	CACHED	0	1.7s	31.5%	0.5%	18.3 MB	470.6 MB	18.3 MB	470.7 MB	6.6 MB	8.5 KB
2513	PULL_IPD_MHC (386)	CACHED	0	1.7s	31.7%	1.2%	46.3 MB	499.8 MB	46.3 MB	499.8 MB	6.6 MB	14 KB
2519	PULL_IPD_KIR (398)	CACHED	0	1.9s	28.0%	1.2%	45.6 MB	498.8 MB	45.6 MB	498.8 MB	6.6 MB	17.3 KB
2521	PULL_IPD_MHC (387)	CACHED	0	2.2s	31.2%	1.2%	45.6 MB	498.8 MB	45.6 MB	498.8 MB	6.6 MB	14.2 KB
2500	PULL_MHC_PROTEINS (367)	CACHED	0	2s	39.1%	1.2%	45 MB	498.7 MB	45 MB	498.7 MB	6.2 MB	6 KB
2531	PULL_MHC_PROTEINS (368)	CACHED	0	1.9s	38.2%	1.2%	45.3 MB	498.7 MB	45.3 MB	498.7 MB	6.2 MB	6 KB
2535	PULL_IPD_MHC (389)	CACHED	0	1.7s	33.4%	1.2%	45.1 MB	498.8 MB	45.1 MB	498.8 MB	6.6 MB	15.6 KB
2527	PULL_IPD_MHC (388)	CACHED	0	1.7s	31.9%	1.2%	45.3 MB	498.8 MB	45.3 MB	498.8 MB	6.6 MB	14.1 KB
