"group","alleles"
"Mane-B_115g2","B_115_02,B_115_05"
"Mane-A3_13g3","A3_13_04,A3_13_06,A3_13_07,A3_13_08"
"Mane-A4_01g","A4_01_01_01N,A4_02_01"
"Mane-B_046g","B_046_01_01,B_046_01_02"
"Mane-B_051g2","B_051_04_02,B_051_04_03,B_051_07,B_051_09"
"Mane-B_060g","B_060_02,B_060_03_01,B_060_04,B_060_05,B_060_06"
"Mane-B_068g3","B_068_05,B_068_06,B_068_10,B_068_12"
"Mane-B_088g2","B_088_03,B_088_04,B_088_05"
"Mane-B_131g","B_131_01_01,B_131_01_02"
"Mane-B_178g","B_178_01_02,B_178_02,B_178_03"
"Mane-DRB_W002g1","DRB_W002_06,DRB_W002_09"
"Mane-DRB_W003g","DRB_W003_02,DRB_W003_03,DRB_W003_04,DRB_W003_05"
"Mane-DPA1_02g1","DPA1_02_01,DPA1_02_02,DPA1_02_03,DPA1_02_06,DPA1_02_08"
"Mane-DPA1_02g2","DPA1_02_04,DPA1_02_11"
"Mane-DPA1_02g3","DPA1_02_05,DPA1_02_12"
"Mane-DPB1_01g","DPB1_01_01_01,DPB1_01_01_02,DPB1_01_02"
"Mane-DPB1_04g1","DPB1_04_01,DPB1_04_02"
"Mane-DQA1_05g1","DQA1_05_05,DQA1_05_06,DQA1_05_07,DQA1_05_09,DQA1_05_10"
"Mane-DQA1_05g2","DQA1_05_01_01,DQA1_05_01_02"
"Mane-DQA1_01g1","DQA1_01_01_01,DQA1_01_01_02,DQA1_01_07"
"Mane-DQA1_01g2","DQA1_01_05,DQA1_01_06"
"Mane-DQA1_26g","DQA1_26_03_02,DQA1_26_04"
"Mane-DRB1_03g2","DRB1_03_07_01,DRB1_03_07_02"
"Mane-DQB1_06g3","DQB1_06_12_01,DQB1_06_12_02"
"Mane-A1_038g","A1_038_01,A1_038_02"
"Mane-A1_072g","A1_072_03,A1_072_04"
"Mane-A1_063g","A1_063_01,A1_063_02_01,A1_063_02_02,A1_063_03"
"Mane-A3_13g4","A3_13_09,A3_13_10,A3_13_12"
"Mane-B_100g","B_100_01_01,B_100_01_02"
"Mane-B_069g","B_069_02,B_069_03"
"Mane-B_088g3","B_088_02_01,B_088_02_02"
"Mane-B_150g","B_150_01,B_150_02,B_150_03"
"Mane-I_01g3","I_01_14_01,I_01_14_02,I_01_14_03"
"Mane-DRB_W033g","DRB_W033_01_01,DRB_W033_01_02"
"Mane-DPA1_02g4","DPA1_02_09_01,DPA1_02_09_02"
"Mane-DQA1_01g3","DQA1_01_02_01,DQA1_01_02_03,DQA1_01_12"
"Mane-DQA1_05g3","DQA1_05_04_01,DQA1_05_04_02"
"Mane-DQB1_15g","DQB1_15_01_01,DQB1_15_01_02"
"Mane-DRB_W001g1","DRB_W001_03,DRB_W001_13"
"Mane-DRB_W001g2","DRB_W001_07,DRB_W001_12_01,DRB_W001_12_02"
"Mane-DRB_W001g3","DRB_W001_10,DRB_W001_14"
"Mane-DRB_W027g","DRB_W027_02,DRB_W027_03"
"Mane-DRB_W002g2","DRB_W002_07,DRB_W002_14"
"Mane-DRB_W002g3","DRB_W002_12,DRB_W002_15"
"Mane-DRB_W005g","DRB_W005_01,DRB_W005_03"
"Mane-DRB_W069g","DRB_W069_02,DRB_W069_03"
"Mane-DRB1_10g","DRB1_10_02_01,DRB1_10_02_02"
"Mane-A1_086g","A1_086_02N,A1_086_03N"
"Mane-B_014g","B_014_01N,B_014_02_01N,B_014_02_02N,B_014_04N,B_014_05"
"Mane-A1_131g","A1_131_01_01,A1_131_01_02,A1_131_02"
"Mane-A1_019g2","A1_019_04_01,A1_019_04_02"
"Mane-B_032g","B_032_01,B_032_02"
"Mane-B_051g3","B_051_04_05,B_051_06,B_051_08"
"Mane-DPB1_04g2","DPB1_04_03,DPB1_04_04"
"Mane-F_02g","F_02_01_01,F_02_01_02,F_02_01_03,F_02_01_04,F_02_02_01,F_02_02_02,F_02_03,F_02_04,F_02_05,F_02_06,F_02_07"
